SETTLEMENTDATE,TOTALDEMAND,SOLAR,WIND
2017-01-08 00:30:00,6732.48,0,0.7604268658
2017-01-08 01:00:00,6595.93,0,0.7262353335
2017-01-08 01:30:00,6299.51,0,0.5784949628
2017-01-08 02:00:00,6145.54,0,0.4457788176
2017-01-08 02:30:00,5998.75,0,0.4285104609
2017-01-08 03:00:00,5968.03,0,0.3958571434
2017-01-08 03:30:00,5965.13,0,0.3910557598
2017-01-08 04:00:00,5926.51,0,0.4388393693
2017-01-08 04:30:00,5964.56,0,0.5964163615
2017-01-08 05:00:00,5935.44,0,0.5827115971
2017-01-08 05:30:00,5976.78,0,0.626955648
2017-01-08 06:00:00,6059.78,0.0195012326,0.6424179253
2017-01-08 06:30:00,6260.87,0.0431508974,0.6130518558
2017-01-08 07:00:00,6458.69,0.11328266,0.5590560729
2017-01-08 07:30:00,6716.79,0.2467347299,0.4405950229
2017-01-08 08:00:00,6886.44,0.4344943522,0.5399716149
2017-01-08 08:30:00,7171.56,0.5459011887,0.4410820042
2017-01-08 09:00:00,7346.6,0.6631767911,0.5887194825
2017-01-08 09:30:00,7450.98,0.7506546401,0.6898742792
2017-01-08 10:00:00,7546.3,0.8597459652,0.6574860421
2017-01-08 10:30:00,7640.04,0.9095544534,0.6952862553
2017-01-08 11:00:00,7695.59,0.9667218617,0.8664416435
2017-01-08 11:30:00,7816.67,0.88624281,0.89797241
2017-01-08 12:00:00,7983.09,0.9425944817,0.9667790336
2017-01-08 12:30:00,8131.35,0.999335008,0.780729906
2017-01-08 13:00:00,8303.7,0.9011639181,0.7508733636
2017-01-08 13:30:00,8452.33,0.9780372568,0.8512824745
2017-01-08 14:00:00,8659.21,0.7315374518,0.7630103966
2017-01-08 14:30:00,8869.11,0.8408573314,0.7976637653
2017-01-08 15:00:00,9073.24,0.7967462583,0.7436382801
2017-01-08 15:30:00,9216.78,0.4398203988,0.8039395652
2017-01-08 16:00:00,9298.01,0.609556332,0.7143279602
2017-01-08 16:30:00,9411.37,0.4585614734,0.4888864324
2017-01-08 17:00:00,9587.64,0.3238382482,0.4222120827
2017-01-08 17:30:00,9613.97,0.1325855001,0.3655974663
2017-01-08 18:00:00,9572.22,0.1109117002,0.24798114
2017-01-08 18:30:00,9394.2,0.0436793808,0.2719570407
2017-01-08 19:00:00,9195.31,0.0174444376,0.2008368776
2017-01-08 19:30:00,9134.79,0.0016251027,0.2233926469
2017-01-08 20:00:00,9192.98,0,0.1546639476
2017-01-08 20:30:00,9007.01,0,0.2393591372
2017-01-08 21:00:00,8729.33,0,0.2205457182
2017-01-08 21:30:00,8480.32,0,0.1814142219
2017-01-08 22:00:00,8186.57,0,0.1341374556
2017-01-08 22:30:00,7997.13,0,0.130112367
2017-01-08 23:00:00,7678.95,0,0.1183991059
2017-01-08 23:30:00,7393.51,0,0.0895964273
2017-01-09 00:00:00,7182.75,0,0.134410127
